学生id,uid,总交互次数,去重习题数,去重知识点数,重复做题次数,重复做过的习题数,答对次数,答错次数,答对率,习题覆盖率,知识点覆盖率
uid0,0,173,170,47,3,3,49,124,0.283237,0.179325,0.824561
uid1,1,15,15,12,0,0,15,0,1.000000,0.015823,0.210526
uid2,2,89,88,39,1,1,57,32,0.640449,0.092827,0.684211
uid3,3,62,62,33,0,0,44,18,0.709677,0.065401,0.578947
uid4,4,173,172,47,1,1,121,52,0.699422,0.181435,0.824561
uid5,5,157,157,46,0,0,91,66,0.579618,0.165612,0.807018
uid6,6,175,173,46,2,2,130,45,0.742857,0.182489,0.807018
uid7,7,115,114,43,1,1,83,32,0.721739,0.120253,0.754386
uid8,8,65,65,37,0,0,54,11,0.830769,0.068565,0.649123
uid9,9,62,59,28,3,3,24,38,0.387097,0.062236,0.491228
uid10,10,24,24,17,0,0,5,19,0.208333,0.025316,0.298246
uid11,11,175,173,47,2,2,133,42,0.760000,0.182489,0.824561
uid12,12,105,102,41,3,3,44,61,0.419048,0.107595,0.719298
uid13,13,29,27,18,2,2,15,14,0.517241,0.028481,0.315789
uid14,14,145,144,43,1,1,72,73,0.496552,0.151899,0.754386
uid15,15,79,77,36,2,2,46,33,0.582278,0.081224,0.631579
uid16,16,27,25,19,2,2,12,15,0.444444,0.026371,0.333333
uid17,17,54,54,31,0,0,41,13,0.759259,0.056962,0.543860
uid18,18,139,137,44,2,2,112,27,0.805755,0.144515,0.771930
uid19,19,163,161,45,2,2,96,67,0.588957,0.169831,0.789474
uid20,20,105,105,42,0,0,59,46,0.561905,0.110759,0.736842
uid21,21,54,54,31,0,0,29,25,0.537037,0.056962,0.543860
uid22,22,23,23,15,0,0,7,16,0.304348,0.024262,0.263158
uid23,23,104,104,42,0,0,65,39,0.625000,0.109705,0.736842
uid24,24,15,13,12,2,2,6,9,0.400000,0.013713,0.210526
uid25,25,78,77,40,1,1,38,40,0.487179,0.081224,0.701754
uid26,26,86,85,38,1,1,61,25,0.709302,0.089662,0.666667
uid27,27,80,79,37,1,1,24,56,0.300000,0.083333,0.649123
uid28,28,43,41,29,2,2,14,29,0.325581,0.043249,0.508772
uid29,29,167,167,48,0,0,70,97,0.419162,0.176160,0.842105
uid30,30,84,83,35,1,1,21,63,0.250000,0.087553,0.614035
uid31,31,169,168,44,1,1,69,100,0.408284,0.177215,0.771930
uid32,32,54,52,30,2,2,27,27,0.500000,0.054852,0.526316
uid33,33,87,86,40,1,1,34,53,0.390805,0.090717,0.701754
uid34,34,173,171,45,2,2,98,75,0.566474,0.180380,0.789474
uid35,35,103,101,40,2,2,48,55,0.466019,0.106540,0.701754
uid36,36,136,134,45,2,2,34,102,0.250000,0.141350,0.789474
uid37,37,160,160,47,0,0,110,50,0.687500,0.168776,0.824561
uid38,38,106,105,38,1,1,69,37,0.650943,0.110759,0.666667
uid39,39,118,116,41,2,2,78,40,0.661017,0.122363,0.719298
uid40,40,132,130,45,2,2,24,108,0.181818,0.137131,0.789474
uid41,41,121,119,41,2,2,32,89,0.264463,0.125527,0.719298
uid42,42,180,177,45,3,3,100,80,0.555556,0.186709,0.789474
uid43,43,125,125,43,0,0,28,97,0.224000,0.131857,0.754386
uid44,44,79,78,36,1,1,17,62,0.215190,0.082278,0.631579
uid45,45,187,187,47,0,0,101,86,0.540107,0.197257,0.824561
uid46,46,58,58,33,0,0,45,13,0.775862,0.061181,0.578947
uid47,47,20,20,20,0,0,3,17,0.150000,0.021097,0.350877
uid48,48,67,67,37,0,0,45,22,0.671642,0.070675,0.649123
uid49,49,159,157,46,2,2,83,76,0.522013,0.165612,0.807018
uid50,50,186,184,45,2,2,126,60,0.677419,0.194093,0.789474
uid51,51,52,52,30,0,0,11,41,0.211538,0.054852,0.526316
uid52,52,66,65,34,1,1,38,28,0.575758,0.068565,0.596491
uid53,53,100,100,41,0,0,66,34,0.660000,0.105485,0.719298
uid54,54,126,121,48,5,5,73,53,0.579365,0.127637,0.842105
uid55,55,86,83,37,3,3,67,19,0.779070,0.087553,0.649123
uid56,56,188,184,47,4,4,105,83,0.558511,0.194093,0.824561
uid57,57,88,87,41,1,1,34,54,0.386364,0.091772,0.719298
uid58,58,123,123,44,0,0,90,33,0.731707,0.129747,0.771930
uid59,59,83,83,40,0,0,43,40,0.518072,0.087553,0.701754
uid60,60,154,154,48,0,0,100,54,0.649351,0.162447,0.842105
uid61,61,158,157,45,1,1,58,100,0.367089,0.165612,0.789474
uid62,62,107,104,40,3,3,45,62,0.420561,0.109705,0.701754
uid63,63,167,165,47,2,2,106,61,0.634731,0.174051,0.824561
uid64,64,132,131,43,1,1,32,100,0.242424,0.138186,0.754386
uid65,65,118,118,46,0,0,96,22,0.813559,0.124473,0.807018
uid66,66,160,154,48,6,6,122,38,0.762500,0.162447,0.842105
uid67,67,62,62,36,0,0,32,30,0.516129,0.065401,0.631579
uid68,68,167,163,44,4,4,124,43,0.742515,0.171941,0.771930
uid69,69,40,40,27,0,0,27,13,0.675000,0.042194,0.473684
uid70,70,153,153,47,0,0,115,38,0.751634,0.161392,0.824561
uid71,71,124,122,44,2,2,68,56,0.548387,0.128692,0.771930
uid72,72,129,126,41,3,3,99,30,0.767442,0.132911,0.719298
uid73,73,188,187,48,1,1,98,90,0.521277,0.197257,0.842105
uid74,74,60,60,33,0,0,46,14,0.766667,0.063291,0.578947
uid75,75,98,98,40,0,0,68,30,0.693878,0.103376,0.701754
uid76,76,43,43,28,0,0,21,22,0.488372,0.045359,0.491228
uid77,77,38,38,25,0,0,26,12,0.684211,0.040084,0.438596
uid78,78,183,181,47,2,2,58,125,0.316940,0.190928,0.824561
uid79,79,89,88,39,1,1,60,29,0.674157,0.092827,0.684211
uid80,80,36,36,25,0,0,21,15,0.583333,0.037975,0.438596
uid81,81,78,75,36,3,3,53,25,0.679487,0.079114,0.631579
uid82,82,50,50,33,0,0,43,7,0.860000,0.052743,0.578947
uid83,83,70,70,36,0,0,32,38,0.457143,0.073840,0.631579
uid84,84,181,177,51,4,4,90,91,0.497238,0.186709,0.894737
uid85,85,146,146,45,0,0,85,61,0.582192,0.154008,0.789474
uid86,86,67,66,34,1,1,66,1,0.985075,0.069620,0.596491
uid87,87,17,17,14,0,0,9,8,0.529412,0.017932,0.245614
uid88,88,83,82,34,1,1,60,23,0.722892,0.086498,0.596491
uid89,89,144,144,46,0,0,81,63,0.562500,0.151899,0.807018
uid90,90,82,78,40,4,4,50,32,0.609756,0.082278,0.701754
uid91,91,51,51,32,0,0,24,27,0.470588,0.053797,0.561404
uid92,92,73,72,34,1,1,59,14,0.808219,0.075949,0.596491
uid93,93,54,54,34,0,0,18,36,0.333333,0.056962,0.596491
uid94,94,57,56,28,1,1,51,6,0.894737,0.059072,0.491228
uid95,95,139,138,46,1,1,98,41,0.705036,0.145570,0.807018
uid96,96,169,167,45,2,2,100,69,0.591716,0.176160,0.789474
uid97,97,134,132,44,2,2,78,56,0.582090,0.139241,0.771930
uid98,98,165,161,44,4,4,165,0,1.000000,0.169831,0.771930
uid99,99,65,65,34,0,0,30,35,0.461538,0.068565,0.596491
uid100,100,13,13,9,0,0,3,10,0.230769,0.013713,0.157895
uid101,101,117,117,45,0,0,71,46,0.606838,0.123418,0.789474
uid102,102,73,70,33,3,3,60,13,0.821918,0.073840,0.578947
uid103,103,24,24,17,0,0,7,17,0.291667,0.025316,0.298246
uid104,104,163,159,50,4,4,79,84,0.484663,0.167722,0.877193
uid105,105,116,115,42,1,1,58,58,0.500000,0.121308,0.736842
uid106,106,129,128,43,1,1,103,26,0.798450,0.135021,0.754386
uid107,107,33,33,24,0,0,13,20,0.393939,0.034810,0.421053
uid108,108,38,38,28,0,0,38,0,1.000000,0.040084,0.491228
uid109,109,153,150,42,3,3,69,84,0.450980,0.158228,0.736842
uid110,110,121,120,43,1,1,121,0,1.000000,0.126582,0.754386
uid111,111,126,124,40,2,2,51,75,0.404762,0.130802,0.701754
uid112,112,137,135,43,2,2,46,91,0.335766,0.142405,0.754386
uid113,113,73,73,35,0,0,42,31,0.575342,0.077004,0.614035
uid114,114,28,28,21,0,0,6,22,0.214286,0.029536,0.368421
uid115,115,54,53,27,1,1,15,39,0.277778,0.055907,0.473684
uid116,116,30,27,21,3,3,7,23,0.233333,0.028481,0.368421
uid117,117,121,120,42,1,1,35,86,0.289256,0.126582,0.736842
uid118,118,147,143,45,4,4,110,37,0.748299,0.150844,0.789474
uid119,119,42,42,20,0,0,29,13,0.690476,0.044304,0.350877
uid120,120,73,73,37,0,0,45,28,0.616438,0.077004,0.649123
uid121,121,132,131,44,1,1,101,31,0.765152,0.138186,0.771930
uid122,122,134,134,44,0,0,79,55,0.589552,0.141350,0.771930
uid123,123,179,178,45,1,1,125,54,0.698324,0.187764,0.789474
uid124,124,150,148,43,2,2,67,83,0.446667,0.156118,0.754386
uid125,125,34,34,26,0,0,12,22,0.352941,0.035865,0.456140
uid126,126,159,158,47,1,1,87,72,0.547170,0.166667,0.824561
uid127,127,195,193,44,2,2,146,49,0.748718,0.203586,0.771930
uid128,128,53,53,29,0,0,18,35,0.339623,0.055907,0.508772
uid129,129,79,78,38,1,1,39,40,0.493671,0.082278,0.666667
uid130,130,17,17,13,0,0,14,3,0.823529,0.017932,0.228070
uid131,131,75,73,33,2,2,21,54,0.280000,0.077004,0.578947
uid132,132,86,85,35,1,1,49,37,0.569767,0.089662,0.614035
uid133,133,98,98,39,0,0,33,65,0.336735,0.103376,0.684211
