??id,kc0,kc1,kc2,kc3,kc4,kc5,kc6,kc7,kc8,kc9,kc10,kc11,kc12,kc13,kc14,kc15,kc16,kc17,kc18,kc19,kc20,kc21,kc22,kc23,kc24,kc25,kc26,kc27,kc28,kc29,kc30,kc31,kc32,kc33,kc34,kc35,kc36,kc37,kc38,kc39,kc40,kc41,kc42,kc43,kc44,kc45,kc46,kc47,kc48,kc49,kc50,kc51,kc52,kc53,kc54,kc55,kc56
uid0,0.651389,0.000000,0.037595,0.601353,0.343951,0.948686,0.000000,0.807519,0.792187,0.961504,0.784069,0.910557,0.000000,0.264025,0.000000,0.924724,0.000000,0.507824,0.616340,0.356401,0.073777,0.158391,0.941321,0.000000,0.934172,0.000000,0.695145,0.569599,0.000000,0.593641,0.811172,0.277992,0.108598,0.235276,0.392352,0.091354,0.000000,0.368615,0.788167,0.190031,0.844096,0.125515,0.142110,0.664495,0.577767,0.478705,0.498303,0.249788,0.535317,0.517164,0.468621,0.861027,0.318323,0.637771,0.000000,0.915553,0.000000
uid1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.158391,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.235276,0.000000,0.108598,0.000000,0.000000,0.000000,0.000000,0.000000,0.037595,0.220482,0.073777,0.000000,0.000000,0.000000,0.000000,0.000000,0.125515,0.091354,0.055859,0.000000,0.142110,0.000000,0.000000,0.000000,0.000000,0.000000,0.018978,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
uid2,0.158391,0.585780,0.000000,0.037595,0.331260,0.000000,0.552786,0.018978,0.174363,0.343951,0.644645,0.205403,0.000000,0.468621,0.569599,0.000000,0.368615,0.380597,0.526327,0.073777,0.142110,0.000000,0.000000,0.000000,0.000000,0.000000,0.277992,0.507824,0.000000,0.000000,0.561273,0.623621,0.291694,0.091354,0.108598,0.811172,0.190031,0.125515,0.000000,0.318323,0.000000,0.535317,0.517164,0.356401,0.000000,0.000000,0.220482,0.498303,0.000000,0.593641,0.728252,0.000000,0.695145,0.055859,0.000000,0.478705,0.000000
uid3,0.018978,0.000000,0.000000,0.000000,0.651389,0.000000,0.630764,0.000000,0.000000,0.000000,0.000000,0.000000,0.142110,0.190031,0.264025,0.507824,0.000000,0.488598,0.037595,0.637771,0.343951,0.569599,0.000000,0.526327,0.415196,0.368615,0.305136,0.055859,0.000000,0.517164,0.000000,0.601353,0.249788,0.174363,0.091354,0.658005,0.437182,0.000000,0.000000,0.073777,0.000000,0.125515,0.478705,0.205403,0.000000,0.000000,0.392352,0.468621,0.000000,0.000000,0.000000,0.000000,0.331260,0.356401,0.000000,0.000000,0.000000
uid4,0.670862,0.380597,0.775634,0.291694,0.849958,0.000000,0.073777,0.658005,0.037595,0.950615,0.552786,0.091354,0.585780,0.125515,0.695145,0.788167,0.955127,0.447863,0.784069,0.055859,0.630764,0.000000,0.000000,0.000000,0.608918,0.000000,0.577767,0.437182,0.828422,0.235276,0.305136,0.415196,0.000000,0.318323,0.507824,0.738468,0.000000,0.468621,0.000000,0.343951,0.000000,0.174363,0.868790,0.018978,0.743431,0.535317,0.944599,0.651389,0.000000,0.838006,0.700930,0.190031,0.683236,0.205403,0.923268,0.897720,0.000000
uid5,0.779892,0.000000,0.000000,0.331260,0.706606,0.821720,0.205403,0.517164,0.437182,0.000000,0.249788,0.142110,0.000000,0.569599,0.000000,0.264025,0.000000,0.000000,0.380597,0.000000,0.426295,0.873723,0.855598,0.775634,0.343951,0.000000,0.863665,0.447863,0.000000,0.771294,0.507824,0.018978,0.091354,0.190031,0.277992,0.158391,0.908827,0.644645,0.585780,0.852805,0.220482,0.728252,0.291694,0.478705,0.415196,0.368615,0.108598,0.305136,0.577767,0.910557,0.000000,0.945650,0.073777,0.125515,0.000000,0.235276,0.861027
uid6,0.055859,0.905265,0.585780,0.811172,0.498303,0.000000,0.664495,0.814755,0.108598,0.488598,0.630764,0.000000,0.000000,0.426295,0.683236,0.552786,0.517164,0.507824,0.623621,0.264025,0.125515,0.000000,0.000000,0.000000,0.931601,0.000000,0.249788,0.601353,0.700930,0.766870,0.616340,0.318323,0.018978,0.037595,0.190031,0.762360,0.158391,0.220482,0.000000,0.468621,0.000000,0.305136,0.838006,0.478705,0.775634,0.885259,0.091354,0.831678,0.000000,0.277992,0.738468,0.000000,0.380597,0.174363,0.954259,0.447863,0.000000
uid7,0.507824,0.498303,0.000000,0.712174,0.249788,0.000000,0.235276,0.174363,0.142110,0.000000,0.000000,0.593641,0.689247,0.091354,0.000000,0.878470,0.561273,0.380597,0.190031,0.577767,0.728252,0.368615,0.000000,0.000000,0.415196,0.000000,0.318323,0.220482,0.000000,0.447863,0.722995,0.037595,0.291694,0.677108,0.073777,0.841081,0.855598,0.818271,0.158391,0.403884,0.000000,0.437182,0.356401,0.205403,0.055859,0.000000,0.788167,0.392352,0.108598,0.000000,0.000000,0.644645,0.018978,0.630764,0.000000,0.000000,0.277992
uid8,0.000000,0.000000,0.000000,0.593641,0.507824,0.000000,0.468621,0.277992,0.142110,0.000000,0.318323,0.037595,0.000000,0.380597,0.000000,0.585780,0.000000,0.677108,0.108598,0.000000,0.205403,0.658005,0.000000,0.000000,0.695145,0.000000,0.637771,0.190031,0.000000,0.000000,0.291694,0.174363,0.644645,0.091354,0.356401,0.055859,0.000000,0.569599,0.403884,0.689247,0.706606,0.526327,0.488598,0.235276,0.158391,0.073777,0.000000,0.220482,0.368615,0.000000,0.000000,0.000000,0.305136,0.018978,0.000000,0.000000,0.608918
uid9,0.000000,0.000000,0.000000,0.343951,0.000000,0.000000,0.125515,0.356401,0.000000,0.000000,0.108598,0.000000,0.000000,0.000000,0.000000,0.000000,0.683236,0.000000,0.235276,0.552786,0.392352,0.488598,0.000000,0.517164,0.000000,0.000000,0.264025,0.055859,0.000000,0.380597,0.158391,0.037595,0.249788,0.000000,0.426295,0.142110,0.000000,0.000000,0.277992,0.616340,0.018978,0.437182,0.000000,0.073777,0.000000,0.000000,0.000000,0.220482,0.174363,0.000000,0.403884,0.305136,0.000000,0.000000,0.000000,0.000000,0.000000
uid10,0.000000,0.000000,0.000000,0.073777,0.018978,0.108598,0.000000,0.000000,0.331260,0.000000,0.000000,0.000000,0.000000,0.000000,0.190031,0.000000,0.000000,0.000000,0.000000,0.235276,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037595,0.000000,0.343951,0.000000,0.291694,0.000000,0.000000,0.318323,0.000000,0.000000,0.205403,0.000000,0.000000,0.000000,0.264025,0.220482,0.125515,0.000000,0.000000,0.000000,0.091354,0.000000,0.000000,0.000000,0.000000,0.305136,0.000000,0.000000,0.000000,0.000000
uid11,0.264025,0.403884,0.091354,0.821720,0.616340,0.915553,0.249788,0.658005,0.689247,0.831678,0.055859,0.803796,0.000000,0.722995,0.277992,0.142110,0.861027,0.775634,0.018978,0.158391,0.000000,0.000000,0.000000,0.000000,0.949660,0.000000,0.488598,0.037595,0.305136,0.426295,0.125515,0.000000,0.220482,0.073777,0.535317,0.507824,0.960759,0.891668,0.743431,0.356401,0.899661,0.601353,0.415196,0.190031,0.498303,0.000000,0.569599,0.561273,0.738468,0.593641,0.945650,0.931601,0.677108,0.788167,0.000000,0.000000,0.000000
uid12,0.593641,0.507824,0.544135,0.577767,0.125515,0.478705,0.331260,0.318323,0.616340,0.000000,0.825103,0.000000,0.000000,0.637771,0.000000,0.264025,0.000000,0.403884,0.343951,0.305136,0.055859,0.753077,0.468621,0.828422,0.000000,0.000000,0.000000,0.142110,0.000000,0.000000,0.291694,0.073777,0.158391,0.235276,0.368615,0.205403,0.000000,0.664495,0.000000,0.392352,0.844096,0.018978,0.356401,0.037595,0.108598,0.000000,0.091354,0.488598,0.852805,0.220482,0.000000,0.000000,0.277992,0.000000,0.000000,0.437182,0.788167
