exercise_index,entity_id,original_question_id,previous_exercise_index
0,ex0,0,0
1,ex1,1,1
2,ex2,2,2
3,ex3,3,3
4,ex4,5,4
5,ex5,6,5
6,ex6,7,6
7,ex7,12,7
8,ex8,14,8
9,ex9,16,9
10,ex10,17,10
11,ex11,22,11
12,ex12,27,13
13,ex13,28,14
14,ex14,34,15
15,ex15,35,16
16,ex16,47,17
17,ex17,65,26
18,ex18,69,28
19,ex19,79,29
20,ex20,80,30
21,ex21,81,31
22,ex22,82,32
23,ex23,84,33
24,ex24,90,34
25,ex25,92,35
26,ex26,94,36
27,ex27,95,37
28,ex28,96,38
29,ex29,97,39
30,ex30,102,41
31,ex31,103,42
32,ex32,104,43
33,ex33,115,50
34,ex34,116,51
35,ex35,118,52
36,ex36,119,53
37,ex37,121,54
38,ex38,124,55
39,ex39,125,56
40,ex40,126,57
41,ex41,128,58
42,ex42,130,59
43,ex43,136,60
44,ex44,138,61
45,ex45,142,62
46,ex46,145,63
47,ex47,152,64
48,ex48,153,65
49,ex49,154,66
50,ex50,155,67
51,ex51,159,69
52,ex52,162,71
53,ex53,163,72
54,ex54,164,73
55,ex55,166,74
56,ex56,167,75
57,ex57,177,78
58,ex58,181,79
59,ex59,182,80
60,ex60,184,81
61,ex61,188,82
62,ex62,191,83
63,ex63,193,85
64,ex64,209,91
65,ex65,216,92
66,ex66,222,93
67,ex67,223,94
68,ex68,224,95
69,ex69,225,96
70,ex70,226,97
71,ex71,230,98
72,ex72,231,99
73,ex73,232,100
74,ex74,236,101
75,ex75,237,102
76,ex76,238,103
77,ex77,242,104
78,ex78,243,105
79,ex79,244,106
80,ex80,260,113
81,ex81,266,116
82,ex82,267,117
83,ex83,268,118
84,ex84,269,119
85,ex85,270,120
86,ex86,271,121
87,ex87,273,123
88,ex88,274,124
89,ex89,275,125
90,ex90,276,126
91,ex91,277,127
92,ex92,278,128
93,ex93,282,130
94,ex94,283,131
95,ex95,284,132
96,ex96,285,133
97,ex97,286,134
98,ex98,287,135
99,ex99,289,136
100,ex100,290,137
101,ex101,291,138
102,ex102,292,139
103,ex103,293,140
104,ex104,294,141
105,ex105,295,142
106,ex106,296,143
107,ex107,297,144
108,ex108,298,145
109,ex109,299,146
110,ex110,300,147
111,ex111,301,148
112,ex112,302,149
113,ex113,303,150
114,ex114,304,151
115,ex115,305,152
116,ex116,306,153
117,ex117,307,154
118,ex118,308,155
119,ex119,309,156
120,ex120,310,157
121,ex121,311,158
122,ex122,312,159
123,ex123,313,160
124,ex124,314,161
125,ex125,315,162
126,ex126,316,163
127,ex127,317,164
128,ex128,318,165
129,ex129,319,166
130,ex130,320,167
131,ex131,321,168
132,ex132,322,169
133,ex133,323,170
134,ex134,324,171
135,ex135,325,172
136,ex136,326,173
137,ex137,328,175
138,ex138,329,176
139,ex139,330,177
140,ex140,331,178
141,ex141,332,179
142,ex142,333,180
143,ex143,334,181
144,ex144,335,182
145,ex145,336,183
146,ex146,337,184
147,ex147,343,185
148,ex148,344,186
149,ex149,345,187
150,ex150,346,188
151,ex151,347,189
152,ex152,348,190
153,ex153,349,191
154,ex154,350,192
155,ex155,351,193
156,ex156,352,194
157,ex157,353,195
158,ex158,354,196
159,ex159,355,197
160,ex160,356,198
161,ex161,357,199
162,ex162,358,200
163,ex163,359,201
164,ex164,360,202
165,ex165,361,203
166,ex166,362,204
167,ex167,363,205
168,ex168,364,206
169,ex169,365,207
170,ex170,366,208
171,ex171,367,209
172,ex172,368,210
173,ex173,369,211
174,ex174,370,212
175,ex175,371,213
176,ex176,372,214
177,ex177,373,215
178,ex178,374,216
179,ex179,375,217
180,ex180,376,218
181,ex181,377,219
182,ex182,378,220
183,ex183,379,221
184,ex184,381,223
185,ex185,382,224
186,ex186,383,225
187,ex187,384,226
188,ex188,385,227
189,ex189,386,228
190,ex190,387,229
191,ex191,390,230
192,ex192,391,231
193,ex193,392,232
194,ex194,393,233
195,ex195,395,235
196,ex196,396,236
197,ex197,397,237
198,ex198,398,238
199,ex199,399,239
200,ex200,400,240
201,ex201,403,241
202,ex202,404,242
203,ex203,405,243
204,ex204,406,244
205,ex205,407,245
206,ex206,408,246
207,ex207,409,247
208,ex208,410,248
209,ex209,411,249
210,ex210,412,250
211,ex211,413,251
212,ex212,414,252
213,ex213,415,253
214,ex214,416,254
215,ex215,417,255
216,ex216,418,256
217,ex217,419,257
218,ex218,420,258
219,ex219,421,259
220,ex220,422,260
221,ex221,423,261
222,ex222,424,262
223,ex223,426,263
224,ex224,429,264
225,ex225,431,265
226,ex226,433,266
227,ex227,435,267
228,ex228,436,268
229,ex229,437,269
230,ex230,438,270
231,ex231,439,271
232,ex232,440,272
233,ex233,441,273
234,ex234,442,274
235,ex235,443,275
236,ex236,444,276
237,ex237,445,277
238,ex238,446,278
239,ex239,447,279
240,ex240,448,280
241,ex241,449,281
242,ex242,450,282
243,ex243,451,283
244,ex244,452,284
245,ex245,453,285
246,ex246,454,286
247,ex247,455,287
248,ex248,456,288
249,ex249,457,289
250,ex250,458,290
251,ex251,459,291
252,ex252,462,294
253,ex253,463,295
254,ex254,464,296
255,ex255,465,297
256,ex256,466,298
257,ex257,467,299
258,ex258,468,300
259,ex259,469,301
260,ex260,470,302
261,ex261,471,303
262,ex262,472,304
263,ex263,473,305
264,ex264,474,306
265,ex265,475,307
266,ex266,476,308
267,ex267,477,309
268,ex268,478,310
269,ex269,479,311
270,ex270,480,312
271,ex271,481,313
272,ex272,482,314
273,ex273,483,315
274,ex274,484,316
275,ex275,491,317
276,ex276,492,318
277,ex277,493,319
278,ex278,494,320
279,ex279,501,327
280,ex280,502,328
281,ex281,503,329
282,ex282,504,330
283,ex283,505,331
284,ex284,506,332
285,ex285,507,333
286,ex286,508,334
287,ex287,509,335
288,ex288,510,336
289,ex289,511,337
290,ex290,512,338
291,ex291,513,339
292,ex292,514,340
293,ex293,515,341
294,ex294,519,345
295,ex295,520,346
296,ex296,521,347
297,ex297,522,348
298,ex298,523,349
299,ex299,524,350
300,ex300,525,351
301,ex301,526,352
302,ex302,527,353
303,ex303,528,354
304,ex304,529,355
305,ex305,530,356
306,ex306,531,357
307,ex307,532,358
308,ex308,533,359
