concept_index,entity_id,raw_concept_id,name,definition_source,route
0,kc0,0,乘法原理里的其他类型,llm:deepseek-chat,拓展思维----计数模块----加乘原理----乘法原理----乘法原理里的其他类型
1,kc1,1,加乘原理综合,llm:deepseek-chat,拓展思维----计数模块----加乘原理----加乘原理综合
2,kc2,2,物品搭配,llm:deepseek-chat,拓展思维----计数模块----加乘原理----乘法原理----物品搭配
3,kc3,3,染色计数问题,llm:deepseek-chat,拓展思维----计数模块----加乘原理----染色计数问题
4,kc4,4,路线搭配问题,llm:deepseek-chat,拓展思维----计数模块----加乘原理----乘法原理----路线搭配问题
5,kc5,5,长方形周长,llm:deepseek-chat,拓展思维----几何模块----直线型----图形认知----长方形和正方形----长方形周长
6,kc6,6,陷阱型不规则图形求周长,llm:deepseek-chat,拓展思维----几何模块----直线型----图形认知----不规则四边形----陷阱型不规则图形求周长
7,kc7,7,公式法长方形正方形周长,llm:deepseek-chat,课内题型----空间与图形----几何图形----四边形----公式法长方形正方形周长
8,kc8,8,几何方法差不变,llm:deepseek-chat,拓展思维----几何模块----直线型----几何思想与方法----几何方法差不变
9,kc9,9,长方形组合图形周长,llm:deepseek-chat,拓展思维----几何模块----直线型----图形认知----长方形和正方形----长方形组合图形周长
10,kc10,10,正方形组合图形周长,llm:deepseek-chat,拓展思维----几何模块----直线型----图形认知----正方形和长方形----正方形组合图形周长
11,kc11,11,长方形和正方形面积公式,llm:deepseek-chat,拓展思维----几何模块----直线型----图形认知----正方形和长方形----长方形和正方形面积公式
12,kc12,12,找矛盾,llm:deepseek-chat,拓展思维----组合模块----逻辑推理----假设型逻辑推理----真假话----找矛盾
13,kc13,13,整数倍数关系,llm:deepseek-chat,拓展思维----计算模块----整数----整数提取公因数----整数构造提取----整数倍数关系
14,kc14,14,整数乘法巧算之提取公因数（普通型）,llm:deepseek-chat,拓展思维----计算模块----整数----整数提取公因数----整数乘法巧算之提取公因数（普通型）
15,kc15,15,等差数列求通项,llm:deepseek-chat,拓展思维----计算模块----数列与数表----等差数列----等差数列求通项
16,kc16,16,等差数列求和,llm:deepseek-chat,拓展思维----计算模块----数列与数表----等差数列----等差数列求和
17,kc17,17,中项定理应用,llm:deepseek-chat,拓展思维----计算模块----数列与数表----等差数列----中项定理应用
18,kc18,18,乘除法抵消,llm:deepseek-chat,拓展思维----计算模块----整数----整数乘除----整数乘除法巧算----乘除法抵消
19,kc19,19,整数好朋友数,llm:deepseek-chat,知识点----计算模块----整数----整数乘除----整数乘除法巧算----整数好朋友数
20,kc20,20,整数除法巧算之提取公除数（普通型）,llm:deepseek-chat,拓展思维----计算模块----整数----整数提取公因数----整数除法巧算之提取公除数（普通型）
21,kc21,21,扫雷游戏,llm:deepseek-chat,拓展思维----组合模块----数学游戏----扫雷游戏
22,kc22,22,长方形计数,llm:deepseek-chat,拓展思维----计数模块----几何计数----对应法数图形----乘法计数----长方形计数
23,kc23,23,认识线段,llm:deepseek-chat,拓展思维----计数模块----几何计数----分类枚举法数图形----常规图形枚举计数----认识线段
24,kc24,24,基本排列的周期问题,llm:deepseek-chat,拓展思维----应用题模块----周期问题----基本排列的周期问题
25,kc25,25,单一变量还原问题,llm:deepseek-chat,拓展思维----应用题模块----还原问题----单一变量还原问题
26,kc26,26,日期中的周期,llm:deepseek-chat,拓展思维----应用题模块----周期问题----时间中的周期问题----日期中的周期
27,kc27,27,逆运算,llm:deepseek-chat,拓展思维----应用题模块----还原问题----逆运算
28,kc28,28,两量还原问题,llm:deepseek-chat,拓展思维----应用题模块----还原问题----两量还原问题
29,kc29,29,单归一问题,llm:deepseek-chat,拓展思维----应用题模块----归一归总问题----单归一问题
30,kc30,30,分一半,llm:deepseek-chat,拓展思维----应用题模块----还原问题----分一半
31,kc31,31,双归一问题,llm:deepseek-chat,课内题型----综合与实践----应用题----归一归总问题----双归一问题
32,kc32,32,长方形周长公式,llm:deepseek-chat,课内知识点----测量----周长----长方形周长----长方形周长公式
33,kc33,33,逻辑绘图,llm:deepseek-chat,拓展思维----组合模块----数学游戏----逻辑绘图
34,kc34,34,单人简单行程问题,llm:deepseek-chat,拓展思维----行程模块----直线型行程问题----路程速度时间----单人简单行程问题
35,kc35,35,数据的简单分析,llm:deepseek-chat,课内知识点----数据的分析----数据的简单分析
36,kc36,36,复式条形统计图,llm:deepseek-chat,知识点----数据收集和整理----数据整理----复式条形统计图
37,kc37,37,运算求解,llm:deepseek-chat,七大能力----运算求解
38,kc38,38,单一对象条形图,llm:deepseek-chat,拓展思维----计数模块----统计与概率----统计图表----单一对象条形图
39,kc39,39,条形统计图,llm:deepseek-chat,课内知识点----数据收集和整理----数据整理----条形统计图
40,kc40,40,二量容斥,llm:deepseek-chat,拓展思维----计数模块----容斥原理----二量容斥
41,kc41,41,原型题,llm:deepseek-chat,拓展思维----应用题模块----鸡兔同笼问题----假设法解鸡兔同笼----基本型----原型题
42,kc42,42,数码综合问题,llm:deepseek-chat,拓展思维----应用题模块----页码问题----数码综合问题
43,kc43,43,平行四边形的概念,llm:deepseek-chat,拓展思维----几何模块----直线型----图形认知----图形认知平行四边形----平行四边形的概念
44,kc44,44,页码数量,llm:deepseek-chat,拓展思维----应用题模块----页码问题----指定数字与页码的对应问题----页码数量
45,kc45,45,页码问题,llm:deepseek-chat,拓展思维----应用题模块----页码问题
46,kc46,46,平行四边形的面积公式,llm:deepseek-chat,拓展思维----几何模块----直线型----图形认知----图形认知平行四边形----平行四边形的面积公式
47,kc47,47,利用面积求周长,llm:deepseek-chat,课内题型----空间与图形----几何图形----四边形----利用面积求周长
48,kc48,48,两条对角线垂直的四边形的面积求法,llm:deepseek-chat,拓展思维----几何模块----直线型----图形认知----不规则四边形----两条对角线垂直的四边形的面积求法
49,kc49,49,公式法求梯形面积,llm:deepseek-chat,课内题型----空间与图形----几何图形----四边形----公式法求梯形面积
50,kc50,50,梯形的面积公式,llm:deepseek-chat,拓展思维----几何模块----直线型----图形认知----图形认知梯形----梯形的面积公式
51,kc51,51,正求反求面积,llm:deepseek-chat,知识点----测量----面积----梯形面积公式----正求反求面积
52,kc52,52,用公式直接求速度,llm:deepseek-chat,课内题型----综合与实践----应用题----行程应用题----用公式直接求速度
53,kc53,53,平行四边形边角特点,llm:deepseek-chat,课内知识点----图形的认识----认识平面图形----认识平行四边形----平行四边形边角特点
54,kc54,54,同时出发,llm:deepseek-chat,拓展思维----行程模块----直线型行程问题----两人相遇与追及问题----追及问题----同时出发
55,kc55,55,同时出发相向而行,llm:deepseek-chat,拓展思维----行程模块----直线型行程问题----两人相遇与追及问题----相遇问题----同时出发相向而行
56,kc56,56,用公式直接求路程,llm:deepseek-chat,课内题型----综合与实践----应用题----行程应用题----用公式直接求路程
57,kc57,57,奇数与偶数的加减规律,llm:deepseek-chat,拓展思维----数论模块----奇数与偶数----奇数与偶数的加减规律
58,kc58,58,奇数与偶数的应用,llm:deepseek-chat,拓展思维----数论模块----奇数与偶数----奇数与偶数的应用
59,kc59,59,奇数与偶数的混合计算,llm:deepseek-chat,拓展思维----数论模块----奇数与偶数----奇数与偶数的混合计算
60,kc60,60,乘法竖式谜,llm:deepseek-chat,拓展思维----组合模块----数字谜----竖式数字谜----乘法竖式谜
61,kc61,61,整除初识,llm:deepseek-chat,拓展思维----数论模块----整除----整除特征----整除初识
62,kc62,62,和系整除特征应用,llm:deepseek-chat,拓展思维----数论模块----整除----整除特征----和系整除特征应用
63,kc63,63,尾数系整除特征,llm:deepseek-chat,拓展思维----数论模块----整除----整除特征----尾数系整除特征
64,kc64,64,表外乘法计算,llm:deepseek-chat,拓展思维----计算模块----整数----整数乘除----整数乘法运算----表外乘法计算
65,kc65,65,连续自然数长方形数表之已知位置求数,llm:deepseek-chat,拓展思维----计算模块----数列与数表----数表规律----长方形数表----连续自然数长方形数表之已知位置求数
66,kc66,66,烙饼问题,llm:deepseek-chat,拓展思维----组合模块----操作与策略----统筹规划----简单时间统筹问题----烙饼问题
67,kc67,67,时间总和问题,llm:deepseek-chat,拓展思维----组合模块----操作与策略----统筹规划----简单时间统筹问题----时间总和问题
68,kc68,68,调运中的统筹,llm:deepseek-chat,拓展思维----组合模块----操作与策略----统筹规划----调运中的统筹
69,kc69,69,追及与相遇结合,llm:deepseek-chat,拓展思维----行程模块----直线型行程问题----两人相遇与追及问题----追及与相遇结合
