uid,entity_id,original_uid,previous_uid,split
0,uid0,0,0,test
1,uid1,1,1,train
2,uid2,3,3,train
3,uid3,6,6,train
4,uid4,7,7,train
5,uid5,8,8,train
6,uid6,9,9,train
7,uid7,10,10,test
8,uid8,11,11,train
9,uid9,14,14,train
10,uid10,16,16,train
11,uid11,19,19,train
12,uid12,20,20,train
13,uid13,23,23,test
14,uid14,24,24,train
15,uid15,25,25,train
16,uid16,26,26,train
17,uid17,29,29,train
18,uid18,30,30,train
19,uid19,31,31,test
20,uid20,34,34,train
21,uid21,38,38,train
22,uid22,39,39,train
23,uid23,40,40,train
24,uid24,41,41,test
25,uid25,42,42,train
26,uid26,43,43,train
27,uid27,44,44,train
28,uid28,46,46,train
29,uid29,48,48,test
30,uid30,50,50,test
31,uid31,52,52,test
32,uid32,55,55,test
33,uid33,56,56,train
34,uid34,61,61,train
35,uid35,62,62,train
36,uid36,64,64,train
37,uid37,65,65,train
38,uid38,66,66,train
39,uid39,67,67,test
40,uid40,68,68,test
41,uid41,69,69,test
42,uid42,70,70,train
43,uid43,71,71,train
44,uid44,72,72,train
45,uid45,75,75,train
46,uid46,78,78,train
47,uid47,79,79,train
48,uid48,80,80,train
49,uid49,81,81,train
50,uid50,82,82,train
51,uid51,84,84,train
52,uid52,86,86,train
53,uid53,87,87,train
54,uid54,88,88,train
55,uid55,91,91,test
56,uid56,93,93,train
57,uid57,95,95,train
58,uid58,97,97,train
59,uid59,99,99,train
60,uid60,100,100,test
61,uid61,101,101,train
62,uid62,102,102,train
63,uid63,103,103,train
64,uid64,106,106,train
65,uid65,107,107,train
66,uid66,108,108,train
67,uid67,111,111,train
68,uid68,112,112,train
69,uid69,113,113,train
70,uid70,114,114,test
71,uid71,115,115,train
72,uid72,117,117,test
73,uid73,120,120,train
74,uid74,122,122,train
75,uid75,124,124,train
76,uid76,126,126,train
77,uid77,127,127,train
78,uid78,128,128,test
79,uid79,129,129,train
80,uid80,130,130,test
81,uid81,131,131,test
82,uid82,132,132,train
83,uid83,133,133,train
84,uid84,134,134,train
85,uid85,135,135,train
86,uid86,136,136,train
87,uid87,137,137,train
88,uid88,138,138,train
89,uid89,139,139,train
90,uid90,140,140,train
91,uid91,143,143,train
92,uid92,145,145,train
93,uid93,149,149,train
94,uid94,150,150,test
95,uid95,152,152,train
96,uid96,154,154,train
97,uid97,155,155,train
98,uid98,156,156,test
99,uid99,158,158,train
100,uid100,159,159,train
101,uid101,162,162,train
102,uid102,163,163,train
103,uid103,165,165,test
104,uid104,166,166,train
105,uid105,167,167,train
106,uid106,168,168,train
107,uid107,169,169,train
108,uid108,170,170,test
109,uid109,172,172,test
110,uid110,173,173,train
111,uid111,174,174,train
112,uid112,176,176,train
113,uid113,178,178,train
114,uid114,179,179,train
115,uid115,182,182,train
116,uid116,184,184,train
117,uid117,187,187,train
118,uid118,188,188,test
119,uid119,190,190,test
120,uid120,192,192,test
121,uid121,193,193,test
122,uid122,194,194,train
123,uid123,197,197,test
124,uid124,201,201,test
125,uid125,202,202,train
126,uid126,203,203,train
127,uid127,205,205,train
128,uid128,207,207,test
129,uid129,208,208,train
130,uid130,211,211,train
131,uid131,213,213,train
132,uid132,214,214,train
133,uid133,218,218,train
134,uid134,221,221,train
135,uid135,222,222,train
