exercise_index,entity_id,original_question_id,previous_exercise_index
0,ex0,0,0
1,ex1,1,1
2,ex2,2,2
3,ex3,3,3
4,ex4,5,4
5,ex5,6,5
6,ex6,7,6
7,ex7,12,7
8,ex8,14,8
9,ex9,16,9
10,ex10,17,10
11,ex11,22,11
12,ex12,24,12
13,ex13,27,13
14,ex14,28,14
15,ex15,34,15
16,ex16,35,16
17,ex17,47,17
18,ex18,51,18
19,ex19,56,19
20,ex20,57,20
21,ex21,59,21
22,ex22,60,22
23,ex23,61,23
24,ex24,63,24
25,ex25,64,25
26,ex26,65,26
27,ex27,66,27
28,ex28,69,28
29,ex29,79,29
30,ex30,80,30
31,ex31,81,31
32,ex32,82,32
33,ex33,84,33
34,ex34,90,34
35,ex35,92,35
36,ex36,94,36
37,ex37,95,37
38,ex38,96,38
39,ex39,97,39
40,ex40,101,40
41,ex41,102,41
42,ex42,103,42
43,ex43,104,43
44,ex44,105,44
45,ex45,107,45
46,ex46,108,46
47,ex47,109,47
48,ex48,110,48
49,ex49,112,49
50,ex50,115,50
51,ex51,116,51
52,ex52,118,52
53,ex53,119,53
54,ex54,121,54
55,ex55,124,55
56,ex56,125,56
57,ex57,126,57
58,ex58,128,58
59,ex59,130,59
60,ex60,136,60
61,ex61,138,61
62,ex62,142,62
63,ex63,145,63
64,ex64,152,64
65,ex65,153,65
66,ex66,154,66
67,ex67,155,67
68,ex68,156,68
69,ex69,159,69
70,ex70,160,70
71,ex71,162,71
72,ex72,163,72
73,ex73,164,73
74,ex74,166,74
75,ex75,167,75
76,ex76,174,76
77,ex77,176,77
78,ex78,177,78
79,ex79,181,79
80,ex80,182,80
81,ex81,184,81
82,ex82,188,82
83,ex83,191,83
84,ex84,192,84
85,ex85,193,85
86,ex86,195,86
87,ex87,197,87
88,ex88,199,88
89,ex89,201,89
90,ex90,205,90
91,ex91,209,91
92,ex92,216,92
93,ex93,222,93
94,ex94,223,94
95,ex95,224,95
96,ex96,225,96
97,ex97,226,97
98,ex98,230,98
99,ex99,231,99
100,ex100,232,100
101,ex101,236,101
102,ex102,237,102
103,ex103,238,103
104,ex104,242,104
105,ex105,243,105
106,ex106,244,106
107,ex107,248,107
108,ex108,250,108
109,ex109,255,109
110,ex110,256,110
111,ex111,257,111
112,ex112,258,112
113,ex113,260,113
114,ex114,263,114
115,ex115,264,115
116,ex116,266,116
117,ex117,267,117
118,ex118,268,118
119,ex119,269,119
120,ex120,270,120
121,ex121,271,121
122,ex122,272,122
123,ex123,273,123
124,ex124,274,124
125,ex125,275,125
126,ex126,276,126
127,ex127,277,127
128,ex128,278,128
129,ex129,279,129
130,ex130,282,130
131,ex131,283,131
132,ex132,284,132
133,ex133,285,133
134,ex134,286,134
135,ex135,287,135
136,ex136,289,136
137,ex137,290,137
138,ex138,291,138
139,ex139,292,139
140,ex140,293,140
141,ex141,294,141
142,ex142,295,142
143,ex143,296,143
144,ex144,297,144
145,ex145,298,145
146,ex146,299,146
147,ex147,300,147
148,ex148,301,148
149,ex149,302,149
150,ex150,303,150
151,ex151,304,151
152,ex152,305,152
153,ex153,306,153
154,ex154,307,154
155,ex155,308,155
156,ex156,309,156
157,ex157,310,157
158,ex158,311,158
159,ex159,312,159
160,ex160,313,160
161,ex161,314,161
162,ex162,315,162
163,ex163,316,163
164,ex164,317,164
165,ex165,318,165
166,ex166,319,166
167,ex167,320,167
168,ex168,321,168
169,ex169,322,169
170,ex170,323,170
171,ex171,324,171
172,ex172,325,172
173,ex173,326,173
174,ex174,327,174
175,ex175,328,175
176,ex176,329,176
177,ex177,330,177
178,ex178,331,178
179,ex179,332,179
180,ex180,333,180
181,ex181,334,181
182,ex182,335,182
183,ex183,336,183
184,ex184,337,184
185,ex185,343,185
186,ex186,344,186
187,ex187,345,187
188,ex188,346,188
189,ex189,347,189
190,ex190,348,190
191,ex191,349,191
192,ex192,350,192
193,ex193,351,193
194,ex194,352,194
195,ex195,353,195
196,ex196,354,196
197,ex197,355,197
198,ex198,356,198
199,ex199,357,199
200,ex200,358,200
201,ex201,359,201
202,ex202,360,202
203,ex203,361,203
204,ex204,362,204
205,ex205,363,205
206,ex206,364,206
207,ex207,365,207
208,ex208,366,208
209,ex209,367,209
210,ex210,368,210
211,ex211,369,211
212,ex212,370,212
213,ex213,371,213
214,ex214,372,214
215,ex215,373,215
216,ex216,374,216
217,ex217,375,217
218,ex218,376,218
219,ex219,377,219
220,ex220,378,220
221,ex221,379,221
222,ex222,380,222
223,ex223,381,223
224,ex224,382,224
225,ex225,383,225
226,ex226,384,226
227,ex227,385,227
228,ex228,386,228
229,ex229,387,229
230,ex230,390,230
231,ex231,391,231
232,ex232,392,232
233,ex233,393,233
234,ex234,394,234
235,ex235,395,235
236,ex236,396,236
237,ex237,397,237
238,ex238,398,238
239,ex239,399,239
240,ex240,400,240
241,ex241,403,241
242,ex242,404,242
243,ex243,405,243
244,ex244,406,244
245,ex245,407,245
246,ex246,408,246
247,ex247,409,247
248,ex248,410,248
249,ex249,411,249
250,ex250,412,250
251,ex251,413,251
252,ex252,414,252
253,ex253,415,253
254,ex254,416,254
255,ex255,417,255
256,ex256,418,256
257,ex257,419,257
258,ex258,420,258
259,ex259,421,259
260,ex260,422,260
261,ex261,423,261
262,ex262,424,262
263,ex263,426,263
264,ex264,429,264
265,ex265,431,265
266,ex266,433,266
267,ex267,435,267
268,ex268,436,268
269,ex269,437,269
270,ex270,438,270
271,ex271,439,271
272,ex272,440,272
273,ex273,441,273
274,ex274,442,274
275,ex275,443,275
276,ex276,444,276
277,ex277,445,277
278,ex278,446,278
279,ex279,447,279
280,ex280,448,280
281,ex281,449,281
282,ex282,450,282
283,ex283,451,283
284,ex284,452,284
285,ex285,453,285
286,ex286,454,286
287,ex287,455,287
288,ex288,456,288
289,ex289,457,289
290,ex290,458,290
291,ex291,459,291
292,ex292,460,292
293,ex293,461,293
294,ex294,462,294
295,ex295,463,295
296,ex296,464,296
297,ex297,465,297
298,ex298,466,298
299,ex299,467,299
300,ex300,468,300
301,ex301,469,301
302,ex302,470,302
303,ex303,471,303
304,ex304,472,304
305,ex305,473,305
306,ex306,474,306
307,ex307,475,307
308,ex308,476,308
