Eedi
  [0.0, 0.1) = 37.49%
  [0.1, 0.2) = 17.45%
  [0.2, 0.3) = 12.59%
  [0.3, 0.4) = 9.59%
  [0.4, 0.5) = 7.74%
  [0.5, 0.6) = 5.90%
  [0.6, 0.7) = 4.33%
  [0.7, 0.8) = 2.90%
  [0.8, 0.9) = 1.67%
  [0.9, 1.0) = 0.34%
algebra2005
  [0.0, 0.1) = 78.93%
  [0.1, 0.2) = 3.51%
  [0.2, 0.3) = 1.57%
  [0.3, 0.4) = 0.87%
  [0.4, 0.5) = 0.61%
  [0.5, 0.6) = 0.49%
  [0.6, 0.7) = 0.50%
  [0.7, 0.8) = 0.68%
  [0.8, 0.9) = 1.23%
  [0.9, 1.0) = 11.61%
assist2009-sub
  [0.0, 0.1) = 76.32%
  [0.1, 0.2) = 9.50%
  [0.2, 0.3) = 4.14%
  [0.3, 0.4) = 2.49%
  [0.4, 0.5) = 1.84%
  [0.5, 0.6) = 1.51%
  [0.6, 0.7) = 1.14%
  [0.7, 0.8) = 0.72%
  [0.8, 0.9) = 0.64%
  [0.9, 1.0) = 1.69%
statics2011
  [0.0, 0.1) = 82.01%
  [0.1, 0.2) = 6.25%
  [0.2, 0.3) = 2.96%
  [0.3, 0.4) = 2.40%
  [0.4, 0.5) = 1.77%
  [0.5, 0.6) = 1.42%
  [0.6, 0.7) = 0.90%
  [0.7, 0.8) = 0.70%
  [0.8, 0.9) = 0.87%
  [0.9, 1.0) = 0.71%
XES3G5M-sub-small
  [0.0, 0.1) = 95.44%
  [0.1, 0.2) = 1.49%
  [0.2, 0.3) = 0.68%
  [0.3, 0.4) = 0.48%
  [0.4, 0.5) = 0.40%
  [0.5, 0.6) = 0.32%
  [0.6, 0.7) = 0.35%
  [0.7, 0.8) = 0.23%
  [0.8, 0.9) = 0.29%
  [0.9, 1.0) = 0.31%
