exercise_index,entity_id,original_question_id,previous_exercise_index
0,ex0,101904,1
1,ex1,107667,2
2,ex2,107681,4
3,ex3,107689,5
4,ex4,107696,6
5,ex5,107703,7
6,ex6,107710,8
7,ex7,107717,9
8,ex8,107724,10
9,ex9,107731,11
10,ex10,107745,13
11,ex11,107753,14
12,ex12,107760,15
13,ex13,107767,16
14,ex14,107774,17
15,ex15,107781,18
16,ex16,107788,19
17,ex17,107795,20
18,ex18,107802,21
19,ex19,107809,22
20,ex20,107816,23
21,ex21,107823,24
22,ex22,107830,25
23,ex23,107837,26
24,ex24,107844,27
25,ex25,107851,28
26,ex26,107858,29
27,ex27,107865,30
28,ex28,107872,31
29,ex29,107990,33
30,ex30,108097,34
31,ex31,108142,35
32,ex32,108268,39
33,ex33,108897,40
34,ex34,108900,41
35,ex35,108903,42
36,ex36,108906,43
37,ex37,108909,44
38,ex38,108912,45
39,ex39,108915,46
40,ex40,108918,47
41,ex41,108921,48
42,ex42,108924,49
43,ex43,108927,50
44,ex44,108930,51
45,ex45,108933,52
46,ex46,108936,53
47,ex47,108939,54
48,ex48,108942,55
49,ex49,108945,56
50,ex50,108948,57
51,ex51,108951,58
52,ex52,108954,59
53,ex53,108957,60
54,ex54,108960,61
55,ex55,108963,62
56,ex56,108966,63
57,ex57,108969,64
58,ex58,108972,65
59,ex59,108975,66
60,ex60,108978,67
61,ex61,108981,68
62,ex62,108984,69
63,ex63,108987,70
64,ex64,108990,71
65,ex65,108993,72
66,ex66,108996,73
67,ex67,108999,74
68,ex68,109002,75
69,ex69,109005,76
70,ex70,109008,77
71,ex71,109011,78
72,ex72,109014,79
73,ex73,120156,147
74,ex74,120160,148
75,ex75,120164,149
76,ex76,120168,150
77,ex77,120172,151
78,ex78,120176,152
79,ex79,120180,153
80,ex80,120184,154
81,ex81,120188,155
82,ex82,120192,156
83,ex83,120196,157
84,ex84,120200,158
85,ex85,120204,159
86,ex86,120208,160
87,ex87,120212,161
88,ex88,120216,162
89,ex89,120220,163
90,ex90,120224,164
91,ex91,120228,165
92,ex92,120232,166
93,ex93,13152,180
94,ex94,13297,182
95,ex95,14443,197
96,ex96,46800,213
97,ex97,46842,214
98,ex98,46851,215
99,ex99,46854,216
100,ex100,46875,217
101,ex101,49261,232
102,ex102,49262,233
103,ex103,49263,234
104,ex104,49264,235
105,ex105,49265,236
106,ex106,49266,237
107,ex107,49267,238
108,ex108,49268,239
109,ex109,49269,240
110,ex110,49270,241
111,ex111,49271,242
112,ex112,49272,243
113,ex113,49273,244
114,ex114,49274,245
115,ex115,49275,246
116,ex116,49276,247
117,ex117,49277,248
118,ex118,49278,249
119,ex119,49279,250
120,ex120,49280,251
121,ex121,49281,252
122,ex122,49282,253
123,ex123,49283,254
124,ex124,49284,255
125,ex125,49285,256
126,ex126,49286,257
127,ex127,49287,258
128,ex128,49288,259
129,ex129,49289,260
130,ex130,49290,261
131,ex131,50982,268
132,ex132,50983,269
133,ex133,50984,270
134,ex134,50985,271
135,ex135,50986,272
136,ex136,50987,273
137,ex137,50988,274
138,ex138,50989,275
139,ex139,50990,276
140,ex140,50991,277
141,ex141,50992,278
142,ex142,50993,279
143,ex143,50994,280
144,ex144,50995,281
145,ex145,50996,282
146,ex146,50997,283
147,ex147,50998,284
148,ex148,50999,285
149,ex149,51000,286
150,ex150,51001,287
151,ex151,51002,288
152,ex152,51003,289
153,ex153,51004,290
154,ex154,51005,291
155,ex155,51006,292
156,ex156,51007,293
157,ex157,51008,294
158,ex158,51009,295
159,ex159,51010,296
160,ex160,51011,297
161,ex161,51012,298
162,ex162,51024,299
163,ex163,51032,300
164,ex164,51044,301
165,ex165,51048,302
166,ex166,51068,303
167,ex167,51088,304
168,ex168,51100,305
169,ex169,51104,306
170,ex170,51108,307
171,ex171,51112,308
172,ex172,51116,309
173,ex173,51120,310
174,ex174,51153,311
175,ex175,51162,312
176,ex176,51168,313
177,ex177,51171,314
178,ex178,52225,336
179,ex179,52255,337
180,ex180,52261,338
181,ex181,52273,339
182,ex182,52279,340
183,ex183,52285,341
184,ex184,52297,342
185,ex185,52321,343
186,ex186,52333,344
187,ex187,52339,345
188,ex188,53319,348
189,ex189,53533,349
190,ex190,53537,350
191,ex191,53541,351
192,ex192,53545,352
193,ex193,53549,353
194,ex194,53553,354
195,ex195,53557,355
196,ex196,53561,356
197,ex197,53565,357
198,ex198,53569,358
199,ex199,53573,359
200,ex200,53577,360
201,ex201,53581,361
202,ex202,53585,362
203,ex203,53589,363
204,ex204,53593,364
205,ex205,53597,365
206,ex206,53601,366
207,ex207,53605,367
208,ex208,53609,368
209,ex209,53613,369
210,ex210,53617,370
211,ex211,53621,371
212,ex212,53625,372
213,ex213,53629,373
214,ex214,53637,374
215,ex215,53641,375
216,ex216,53645,376
217,ex217,53649,377
218,ex218,53653,378
219,ex219,53657,379
220,ex220,53661,380
221,ex221,53665,381
222,ex222,53669,382
223,ex223,53673,383
224,ex224,53677,384
225,ex225,53681,385
226,ex226,53685,386
227,ex227,53689,387
228,ex228,53693,388
229,ex229,53697,389
230,ex230,53701,390
231,ex231,53705,391
232,ex232,53709,392
233,ex233,53713,393
234,ex234,53717,394
235,ex235,53721,395
236,ex236,53725,396
237,ex237,53729,397
238,ex238,53733,398
239,ex239,53737,399
240,ex240,53741,400
241,ex241,53745,401
242,ex242,53749,402
243,ex243,53753,403
244,ex244,53757,404
245,ex245,53761,405
246,ex246,53765,406
247,ex247,53769,407
248,ex248,53773,408
249,ex249,53774,409
250,ex250,53775,410
251,ex251,53776,411
252,ex252,53777,412
253,ex253,53778,413
254,ex254,53779,414
255,ex255,53780,415
