uid,entity_id,original_uid,question,entity_exercise_id,original_question,concepts,response,timestamp,sequence_order,split,previous_uid,previous_exercise_index
0,uid0,64634,115,ex115,49275,32,0,24237223,0,train,1,246
0,uid0,64634,126,ex126,49286,32,1,24237687,1,train,1,257
0,uid0,64634,130,ex130,49290,32,1,24237857,2,train,1,261
0,uid0,64634,116,ex116,49276,32,1,24238088,3,train,1,247
0,uid0,64634,1229,ex1229,89712,11,1,24238576,4,train,1,1577
0,uid0,64634,1217,ex1217,89670,11,0,24238815,5,train,1,1565
0,uid0,64634,617,ex617,84892,11,1,24238997,6,train,1,923
0,uid0,64634,614,ex614,84889,11,1,24239473,7,train,1,920
0,uid0,64634,1244,ex1244,89727,11,0,24239588,8,train,1,1592
0,uid0,64634,1232,ex1232,89715,11,1,24239641,9,train,1,1580
0,uid0,64634,1208,ex1208,89661,11,1,24239690,10,train,1,1556
0,uid0,64634,1265,ex1265,89748,11,1,24239747,11,train,1,1613
0,uid0,64634,1330,ex1330,89904,11,0,24240358,12,train,1,1682
0,uid0,64634,1383,ex1383,89957,11,0,24240934,13,train,1,1735
0,uid0,64634,1342,ex1342,89916,11,0,24241008,14,train,1,1694
0,uid0,64634,1350,ex1350,89924,11,0,24242053,15,train,1,1702
0,uid0,64634,280,ex280,53836,11,1,24748952,16,train,1,440
0,uid0,64634,1391,ex1391,89965,11,0,24750132,17,train,1,1743
0,uid0,64634,1331,ex1331,89905,11,0,24750732,18,train,1,1683
0,uid0,64634,1291,ex1291,89855,11,1,24750820,19,train,1,1643
0,uid0,64634,1374,ex1374,89948,11,0,24751090,20,train,1,1726
0,uid0,64634,1283,ex1283,89827,11,1,24751129,21,train,1,1634
0,uid0,64634,1351,ex1351,89925,11,1,24751151,22,train,1,1703
0,uid0,64634,1293,ex1293,89857,11,1,24751185,23,train,1,1645
0,uid0,64634,1413,ex1413,90537,13,1,24752234,24,train,1,1768
0,uid0,64634,1422,ex1422,90692,49,0,24752270,25,train,1,1777
0,uid0,64634,1419,ex1419,90658,13,1,24753818,26,train,1,1774
0,uid0,64634,304,ex304,54051,12,1,25639553,27,train,1,464
0,uid0,64634,293,ex293,54007,12,1,25641010,28,train,1,453
0,uid0,64634,296,ex296,54019,12,1,25641193,29,train,1,456
0,uid0,64634,287,ex287,53983,12,1,25641376,30,train,1,447
0,uid0,64634,314,ex314,54091,12,1,25641546,31,train,1,474
0,uid0,64634,1205,ex1205,88541,10,0,25644746,32,train,1,1533
0,uid0,64634,891,ex891,85972,26,0,26054781,33,train,1,1198
0,uid0,64634,898,ex898,86048,26,0,26055499,34,train,1,1206
0,uid0,64634,840,ex840,85907,26,1,26055713,35,train,1,1147
0,uid0,64634,839,ex839,85906,26,1,26056111,36,train,1,1146
0,uid0,64634,914,ex914,86070,26,1,26056234,37,train,1,1222
0,uid0,64634,1145,ex1145,86906,37,0,27941087,38,train,1,1463
0,uid0,64634,1135,ex1135,86880,37,0,27942796,39,train,1,1453
0,uid0,64634,1126,ex1126,86850,37,0,27943180,40,train,1,1444
0,uid0,64634,749,ex749,85729,27,0,27944583,41,train,1,1056
0,uid0,64634,751,ex751,85733,27,0,27944849,42,train,1,1058
0,uid0,64634,761,ex761,85751,27,0,27944962,43,train,1,1068
0,uid0,64634,741,ex741,85711,27,1,27945531,44,train,1,1048
0,uid0,64634,745,ex745,85720,27,1,27945555,45,train,1,1052
0,uid0,64634,757,ex757,85746,27,0,27945573,46,train,1,1064
0,uid0,64634,743,ex743,85715,27,1,27945614,47,train,1,1050
0,uid0,64634,1550,ex1550,97836,29,0,27945813,48,train,1,1962
0,uid0,64634,1540,ex1540,97796,29,1,27946361,49,train,1,1952
0,uid0,64634,1548,ex1548,97828,29,1,27946379,50,train,1,1960
0,uid0,64634,1562,ex1562,97884,29,1,27946396,51,train,1,1974
0,uid0,64634,774,ex774,85808,26,1,32083593,52,train,1,1081
0,uid0,64634,1146,ex1146,86907,37,0,32084314,53,train,1,1464
1,uid1,70676,290,ex290,53995,12,1,23182764,0,train,2,450
1,uid1,70676,272,ex272,53797,14,1,23182783,1,train,2,432
1,uid1,70676,304,ex304,54051,12,1,23182806,2,train,2,464
1,uid1,70676,203,ex203,53589,33,1,28046281,3,train,2,363
1,uid1,70676,299,ex299,54031,12,1,28046292,4,train,2,459
1,uid1,70676,585,ex585,84793,33,1,32195255,5,train,2,891
1,uid1,70676,214,ex214,53637,33,1,32195266,6,train,2,374
1,uid1,70676,1258,ex1258,89741,11,1,32195277,7,train,2,1606
1,uid1,70676,306,ex306,54059,12,0,32195288,8,train,2,466
1,uid1,70676,967,ex967,86326,14,1,32267344,9,train,2,1277
1,uid1,70676,430,ex430,58817,14,0,32267449,10,train,2,621
1,uid1,70676,434,ex434,58821,14,1,32267631,11,train,2,625
1,uid1,70676,436,ex436,58823,14,1,32267667,12,train,2,627
1,uid1,70676,427,ex427,58814,14,1,32267726,13,train,2,618
1,uid1,70676,125,ex125,49285,32,1,32632166,14,train,2,256
1,uid1,70676,118,ex118,49278,32,1,32632316,15,train,2,249
1,uid1,70676,128,ex128,49288,32,0,32632519,16,train,2,259
1,uid1,70676,698,ex698,84973,26,1,32936372,17,train,2,1004
1,uid1,70676,583,ex583,84788,26,1,32936712,18,train,2,889
1,uid1,70676,606,ex606,84881,26,1,32936914,19,train,2,912
2,uid2,70679,1237,ex1237,89720,11,0,21429719,0,train,3,1585
2,uid2,70679,628,ex628,84903,11,0,21430848,1,train,3,934
2,uid2,70679,1251,ex1251,89734,11,0,21431130,2,train,3,1599
2,uid2,70679,625,ex625,84900,11,0,21431462,3,train,3,931
2,uid2,70679,1258,ex1258,89741,11,0,21432219,4,train,3,1606
2,uid2,70679,622,ex622,84897,11,0,21432344,5,train,3,928
2,uid2,70679,1274,ex1274,89758,11,0,21432507,6,train,3,1622
2,uid2,70679,296,ex296,54019,12,0,21432796,7,train,3,456
2,uid2,70679,314,ex314,54091,12,0,21433532,8,train,3,474
2,uid2,70679,299,ex299,54031,12,0,21434373,9,train,3,459
2,uid2,70679,205,ex205,53597,33,1,33864702,10,train,3,365
2,uid2,70679,1228,ex1228,89711,11,1,33864778,11,train,3,1576
2,uid2,70679,314,ex314,54091,12,1,33864803,12,train,3,474
2,uid2,70679,987,ex987,86356,14,1,33865185,13,train,3,1297
2,uid2,70679,413,ex413,58800,14,1,33865426,14,train,3,604
2,uid2,70679,119,ex119,49279,32,1,33865510,15,train,3,250
2,uid2,70679,122,ex122,49282,32,1,33865545,16,train,3,253
2,uid2,70679,103,ex103,49263,32,1,33865580,17,train,3,234
2,uid2,70679,110,ex110,49270,32,1,33865621,18,train,3,241
2,uid2,70679,111,ex111,49271,32,1,33865646,19,train,3,242
