uid,entity_id,original_uid,previous_uid,split
0,uid0,1,1,train
1,uid1,2,2,train
2,uid2,3,3,train
3,uid3,4,4,train
4,uid4,5,5,test
5,uid5,6,6,train
6,uid6,7,7,train
7,uid7,8,8,train
8,uid8,9,9,train
9,uid9,10,10,test
10,uid10,11,11,train
11,uid11,12,12,train
12,uid12,13,13,train
13,uid13,14,14,train
14,uid14,15,15,train
15,uid15,16,16,train
16,uid16,18,18,test
17,uid17,20,20,train
18,uid18,21,21,train
19,uid19,22,22,train
20,uid20,24,24,train
21,uid21,26,26,train
22,uid22,34,34,train
23,uid23,35,35,train
24,uid24,38,38,train
25,uid25,39,39,train
26,uid26,40,40,train
27,uid27,41,41,test
28,uid28,42,42,train
29,uid29,43,43,train
30,uid30,44,44,train
31,uid31,45,45,train
32,uid32,46,46,train
33,uid33,47,47,test
34,uid34,48,48,test
35,uid35,49,49,train
36,uid36,52,52,test
37,uid37,54,54,train
38,uid38,55,55,test
39,uid39,58,58,train
40,uid40,59,59,train
41,uid41,60,60,train
42,uid42,62,62,train
43,uid43,63,63,train
44,uid44,64,64,train
45,uid45,65,65,train
46,uid46,66,66,train
47,uid47,67,67,test
48,uid48,68,68,test
49,uid49,69,69,test
50,uid50,70,70,train
51,uid51,71,71,train
52,uid52,72,72,train
53,uid53,73,73,train
54,uid54,74,74,train
55,uid55,119,119,train
56,uid56,120,120,train
57,uid57,122,122,train
58,uid58,123,123,test
59,uid59,124,124,train
60,uid60,125,125,train
61,uid61,126,126,train
62,uid62,127,127,train
63,uid63,128,128,test
64,uid64,129,129,train
65,uid65,130,130,test
66,uid66,131,131,test
67,uid67,132,132,train
68,uid68,133,133,train
69,uid69,134,134,train
70,uid70,140,140,train
71,uid71,145,145,train
72,uid72,148,148,train
73,uid73,149,149,train
74,uid74,150,150,test
75,uid75,151,151,train
76,uid76,152,152,train
77,uid77,154,154,train
78,uid78,155,155,train
79,uid79,156,156,test
80,uid80,157,157,train
81,uid81,158,158,train
82,uid82,159,159,train
83,uid83,160,160,train
84,uid84,161,161,test
85,uid85,162,162,train
86,uid86,164,164,train
87,uid87,165,165,test
88,uid88,166,166,train
89,uid89,168,168,train
90,uid90,169,169,train
91,uid91,170,170,test
92,uid92,171,171,train
93,uid93,172,172,test
94,uid94,173,173,train
95,uid95,174,174,train
96,uid96,175,175,train
97,uid97,176,176,train
98,uid98,177,177,train
99,uid99,178,178,train
100,uid100,179,179,train
101,uid101,180,180,train
102,uid102,181,181,train
103,uid103,182,182,train
104,uid104,183,183,test
105,uid105,186,186,train
106,uid106,187,187,train
107,uid107,189,189,train
108,uid108,190,190,test
109,uid109,191,191,train
110,uid110,192,192,test
111,uid111,193,193,test
112,uid112,194,194,train
113,uid113,195,195,train
114,uid114,196,196,train
115,uid115,197,197,test
116,uid116,198,198,train
117,uid117,199,199,train
118,uid118,200,200,test
119,uid119,201,201,test
120,uid120,202,202,train
121,uid121,203,203,train
122,uid122,204,204,train
123,uid123,205,205,train
124,uid124,206,206,train
125,uid125,207,207,test
126,uid126,209,209,train
127,uid127,210,210,test
128,uid128,211,211,train
129,uid129,212,212,train
130,uid130,213,213,train
131,uid131,214,214,train
132,uid132,216,216,train
133,uid133,217,217,test
134,uid134,218,218,train
135,uid135,219,219,train
136,uid136,220,220,train
137,uid137,221,221,train
138,uid138,222,222,train
139,uid139,223,223,train
140,uid140,224,224,test
141,uid141,225,225,train
142,uid142,226,226,test
143,uid143,227,227,train
144,uid144,228,228,train
145,uid145,229,229,train
146,uid146,231,231,train
147,uid147,232,232,train
148,uid148,233,233,train
149,uid149,234,234,train
150,uid150,235,235,train
151,uid151,236,236,train
152,uid152,237,237,train
153,uid153,238,238,test
154,uid154,239,239,train
155,uid155,240,240,train
156,uid156,241,241,train
157,uid157,242,242,test
158,uid158,243,243,test
159,uid159,244,244,test
160,uid160,245,245,test
161,uid161,246,246,train
162,uid162,247,247,test
163,uid163,248,248,test
164,uid164,249,249,test
165,uid165,250,250,test
166,uid166,251,251,test
167,uid167,252,252,train
168,uid168,253,253,train
169,uid169,254,254,train
170,uid170,255,255,train
171,uid171,256,256,train
172,uid172,257,257,test
173,uid173,258,258,train
174,uid174,260,260,train
175,uid175,261,261,train
176,uid176,262,262,train
177,uid177,263,263,train
178,uid178,264,264,test
179,uid179,265,265,train
180,uid180,266,266,train
181,uid181,267,267,train
182,uid182,268,268,test
183,uid183,269,269,train
184,uid184,270,270,train
185,uid185,271,271,test
186,uid186,272,272,train
187,uid187,273,273,train
188,uid188,274,274,train
189,uid189,276,276,test
190,uid190,278,278,train
191,uid191,279,279,train
192,uid192,280,280,train
193,uid193,281,281,train
194,uid194,282,282,test
195,uid195,283,283,train
196,uid196,285,285,train
197,uid197,286,286,train
198,uid198,287,287,train
199,uid199,289,289,train
200,uid200,290,290,train
